
########################################################################
#      Date:           Tue 27 Dec 2022 09:22:43 PM PST
#    Job ID:           2107335.v-qsvr-1.aidevcloud
#      User:           u173946
# Resources:           cput=75:00:00,neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=06:00:00
########################################################################

## u173946 is compiling DPCPP_Essentials Module1 -- oneAPI Intro sample - 1 of 1 simple.cpp
Device: Intel(R) UHD Graphics [0x9a60]
local_mem_size: 65536
Compute units: 32
Work group size: 32
Supported Sub-Group Sizes : 8 16 32 
nonzero: 2560000, numRows: 10000, mean: 256, LightSpMV: 0.00156981 sec.
nonzero: 2880000, numRows: 10000, mean: 288, LightSpMV: 0.00176901 sec.
nonzero: 3200000, numRows: 10000, mean: 320, LightSpMV: 0.00196389 sec.
nonzero: 3520000, numRows: 10000, mean: 352, LightSpMV: 0.00217797 sec.
nonzero: 3840000, numRows: 10000, mean: 384, LightSpMV: 0.00238912 sec.
nonzero: 4160000, numRows: 10000, mean: 416, LightSpMV: 0.00259814 sec.
nonzero: 4480000, numRows: 10000, mean: 448, LightSpMV: 0.00278917 sec.
nonzero: 4800000, numRows: 10000, mean: 480, LightSpMV: 0.00301316 sec.
nonzero: 5120000, numRows: 10000, mean: 512, LightSpMV: 0.00318194 sec.
nonzero: 6400000, numRows: 10000, mean: 640, LightSpMV: 0.00390652 sec.
nonzero: 7680000, numRows: 10000, mean: 768, LightSpMV: 0.00460947 sec.
nonzero: 8960000, numRows: 10000, mean: 896, LightSpMV: 0.00528134 sec.
nonzero: 10240000, numRows: 10000, mean: 1024, LightSpMV: 0.00593592 sec.
nonzero: 12800000, numRows: 10000, mean: 1280, LightSpMV: 0.00723589 sec.
nonzero: 15360000, numRows: 10000, mean: 1536, LightSpMV: 0.00872118 sec.
nonzero: 17920000, numRows: 10000, mean: 1792, LightSpMV: 0.0099081 sec.
nonzero: 20480000, numRows: 10000, mean: 2048, LightSpMV: 0.0113424 sec.
nonzero: 23040000, numRows: 10000, mean: 2304, LightSpMV: 0.0126217 sec.
nonzero: 25600000, numRows: 10000, mean: 2560, LightSpMV: 0.0139941 sec.
nonzero: 28160000, numRows: 10000, mean: 2816, LightSpMV: 0.0154624 sec.
nonzero: 30720000, numRows: 10000, mean: 3072, LightSpMV: 0.0168273 sec.
nonzero: 33280000, numRows: 10000, mean: 3328, LightSpMV: 0.0182835 sec.
nonzero: 35840000, numRows: 10000, mean: 3584, LightSpMV: 0.0197239 sec.
nonzero: 38400000, numRows: 10000, mean: 3840, LightSpMV: 0.0212765 sec.
nonzero: 40960000, numRows: 10000, mean: 4096, LightSpMV32: 0.0227801 sec.

########################################################################
# End of output for job 2107335.v-qsvr-1.aidevcloud
# Date: Tue 27 Dec 2022 09:23:14 PM PST
########################################################################

icpx: warning: use of 'dpcpp' is deprecated and will be removed in a future release. Use 'icpx -fsycl' [-Wdeprecated]
Job Completed in 42 seconds.
